name,address,pincode,latitude,longitude,phone_no,iframe
Kathivakkam,"Kathivakkam High School Rd, Gandhi Nagar, Ennore, Tamil Nadu 600057, India",600057,13.2167123,80.3205649,044 25733766,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Kathivakkam%20High%20School%20Rd,%20Gandhi%20Nagar,%20Ennore,%20Tamil%20Nadu%20600057,%20India+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Thriruvottiyur,"Thiruvottiyur High Rd, Anjugam nagar ll, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019",600019,13.1722221,80.30458543,044 25733502,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Thiruvottiyur%20High%20Rd,%20Anjugam%20nagar%20ll,%20Rajakadai,%20Tiruvottiyur,%20Chennai,%20Tamil%20Nadu%20600019+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Tondiapet,"55/2, 4th St, Thangal, Chariyan Nagar, Tondiarpet, Chennai, Tamil Nadu 600081",600081,13.1277669,80.2895845,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Thiruvottiyur%20High%20Rd,%20Anjugam%20nagar%20ll,%20Rajakadai,%20Tiruvottiyur,%20Chennai,%20Tamil%20Nadu%20600019+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Old Washermanpet,"266, Thiruvottiyur High Rd, Korukkupet, Old Washermanpet, Chennai, Tamil Nadu 600021",600021,13.1122762,80.2893812,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=55/2,%204th%20St,%20Thangal,%20Chariyan%20Nagar,%20Tondiarpet,%20Chennai,%20Tamil%20Nadu%20600081+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Rayapuram,"Flag Staff St, AJ Colony, Royapuram, Chennai, Tamil Nadu 600013",600013,13.1171002,80.2841149,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=266,%20Thiruvottiyur%20High%20Rd,%20Korukkupet,%20Old%20Washermanpet,%20Chennai,%20Tamil%20Nadu%20600021+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Chennai Greater Corporation," Ripon Building, 1st Floor, Raja Muthiah Rd, Kannappar Thidal, Periyamet, Chennai, Tamil Nadu 600003",600003,13.0360897,80.21405736,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=%C2%A0Ripon%20Building,%201st%20Floor,%20Raja%20Muthiah%20Rd,%20Kannappar%20Thidal,%20Periyamet,%20Chennai,%20Tamil%20Nadu%20600003+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Sowcarpet,"Nattupilliar Koil St, Seven Wells South, George Town, Chennai, Tamil Nadu 600001",600001,13.0920917,80.2822426,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Nattupilliar%20Koil%20St,%20Seven%20Wells%20South,%20George%20Town,%20Chennai,%20Tamil%20Nadu%20600001+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Kilpauk,"Aspiran Garden 2nd St, Venkatesapuram Colony Extension, Kilpauk, Chennai, Tamil Nadu 600010",600010,13.0832149,80.2379864,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Aspiran%20Garden%202nd%20St,%20Venkatesapuram%20Colony%20Extension,%20Kilpauk,%20Chennai,%20Tamil%20Nadu%20600010+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Ayanavaram," 5, Anderson Rd, Vasantha nagar, Chinna Chembarambakkam, Ayanavaram, Chennai, Tamil Nadu 600023",600023,13.1003601,80.2307657,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=%205,%20Anderson%20Rd,%20Vasantha%20nagar,%20Chinna%20Chembarambakkam,%20Ayanavaram,%20Chennai,%20Tamil%20Nadu%20600023+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Villivakkam,"Ward-8, 1st Main Rd, Sidco Nagar, Villivakkam, Chennai, Tamil Nadu 600049",600049,13.1075596,80.2009613,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Ward-8,%201st%20Main%20Rd,%20Sidco%20Nagar,%20Villivakkam,%20Chennai,%20Tamil%20Nadu%20600049+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
